food_type,count
American,865
Italian,850
Contemporary American,649
Steakhouse,328
Seafood,267
French,167
Japanese,140
Steak,123
Californian,96
Mexican,90
Mediterranean,85
Sushi,67
Indian,65
Asian,61
Gastro Pub,51
"['Global', 'International']",43
Greek,42
Spanish,42
Tapas / Small Plates,42
Southern,41
Comfort Food,40
Northwest,37
Mexican / Southwestern,36
Brazilian Steakhouse,33
Latin American,33
Continental,32
Hawaii Regional Cuisine,30
Fondue,30
Fusion / Eclectic,30
Southwest,29
International,25
Creole / Cajun / Southern,25
Thai,25
Barbecue,24
Chinese,22
Contemporary French,22
Pizzeria,20
Contemporary Italian,19
European,18
Contemporary French / American,17
Organic,16
Creole,16
French American,15
Turkish,14
Contemporary European,14
Pan-Asian,13
Latin / Spanish,13
Contemporary Southern,13
Modern European,11
Hawaiian,10
Irish,10
Caribbean,9
Peruvian,9
Korean,8
Portuguese,8
German,8
Cuban,7
Belgian,7
Contemporary Asian,7
Cajun,6
Tex-Mex,5
Persian,5
Brazilian,5
Contemporary Mexican,5
Argentinean,5
Afternoon Tea,4
Wine Bar,4
Bistro,4
Provencal,4
Burgers,4
Bar / Lounge / Bottle Service,4
Moroccan,3
Middle Eastern,3
Southeast Asian,3
Brewery,3
Kosher,3
South American,3
Contemporary Indian,3
Swiss,3
Puerto Rican,3
Vietnamese,2
Ethiopian,2
Basque,2
Russian,2
English,2
British,2
Lebanese,2
South African,2
Prime Rib,2
Afghan,2
Breakfast,2
African,2
Dim Sum,2
Scandinavian,2
Filipino,2
Polynesian,1
Beer Garden,1
Vegan,1
Hibachi,1
Low Country,1
Wild Game,1
Traditional Mexican,1
Vegetarian,1
Pacific Rim,1
South Indian,1
Eastern European,1
Eurasian,1
Modern Australian,1
Australian,1
Regional Mexican,1
Sicilian,1
Austrian,1
Syrian,1
Burmese,1
